Year,Week,Title,Artist
2023,6,"""Flowers""",Miley Cyrus
2023,7,"""Flowers""",Miley Cyrus
2023,8,"""Flowers""",Miley Cyrus
2023,9,"""Flowers""",Miley Cyrus
2023,10,"""Die for You""",The Weeknd and Ariana Grande
2023,11,"""Last Night""",Morgan Wallen
2023,12,"""Flowers""",Miley Cyrus
2023,13,"""Flowers""",Miley Cyrus
2023,14,"""Like Crazy""",Jimin
2023,15,"""Last Night""",Morgan Wallen
2023,16,"""Last Night""",Morgan Wallen
2023,17,"""Kill Bill""",SZA
2023,18,"""Last Night""",Morgan Wallen
2023,19,"""Last Night""",Morgan Wallen
2023,20,"""Last Night""",Morgan Wallen
2023,21,"""Last Night""",Morgan Wallen
2023,22,"""Last Night""",Morgan Wallen
2023,23,"""Last Night""",Morgan Wallen
2023,24,"""Last Night""",Morgan Wallen
2023,25,"""Last Night""",Morgan Wallen
2023,26,"""Last Night""",Morgan Wallen
2023,27,"""Last Night""",Morgan Wallen
2023,28,"""Vampire""",Olivia Rodrigo
2023,29,"""Last Night""",Morgan Wallen
2023,30,"""Seven""",Jungkook featuring Latto
2023,31,"""Try That in a Small Town""",Jason Aldean
2023,32,"""Last Night""",Morgan Wallen
2023,33,"""Last Night""",Morgan Wallen
2023,34,"""Rich Men North of Richmond""",Oliver Anthony Music
2023,35,"""Rich Men North of Richmond""",Oliver Anthony Music
2023,36,"""I Remember Everything""",Zach Bryan featuring Kacey Musgraves
2023,37,"""Paint the Town Red""",Doja Cat
2023,38,"""Vampire""",Olivia Rodrigo
2023,39,"""Slime You Out""",Drake featuring SZA
2023,40,"""Paint the Town Red""",Doja Cat
2023,41,"""Paint the Town Red""",Doja Cat
2023,42,"""First Person Shooter""",Drake featuring J. Cole
2023,43,"""Cruel Summer""",Taylor Swift
2023,44,"""Cruel Summer""",Taylor Swift
2023,45,"""Is It Over Now?""",Taylor Swift
2023,46,"""Cruel Summer""",Taylor Swift
2023,47,"""Cruel Summer""",Taylor Swift
2023,48,"""Lovin on Me""",Jack Harlow
2023,49,"""Rockin' Around the Christmas Tree""",Brenda Lee
2023,50,"""Rockin' Around the Christmas Tree""",Brenda Lee
2023,51,"""All I Want for Christmas Is You""",Mariah Carey
2023,52,"""All I Want for Christmas Is You""",Mariah Carey
